publikationsjahr;wohnviertel_id;wohnviertel_name;anteil_sozialhilfeempfaenger;anteil_auslaender;anteil_personen_ohne_religionszugehoerigkeit;anteil_personen_in_einpersonenhaushalten;gymnasialquote;altersquotient;anteil_sesshafte;jugendquotient;baujahr_der_wohngebaeude;anteil_einfamilienhaeuser;anteil_gruenflaechen;flaeche_pro_wohnung;wohnflaeche_pro_person;vermoegenssteuer_pro_veranlagung;einkommenssteuer_pro_veranlagung;erwerbstaetigenquote;arbeitsplaetze_pro_einwohner;arbeitslosenquote
2016;13;Clara;0.0796723753;0.4638868206;0.4740630429;0.2709424084;0.2285714286;0.3268438787;0.3137254902;0.1815799326;1928.3307692;0.0192307692;0.1596210692;67.242647059;37.087506589;436.89323843;6393.9031238;0.6584951805;0.682934165;0.0502164591
2016;15;Hirzbrunnen;0.0469791204;0.2202354509;0.4796756997;0.1888775856;0.2848101266;0.4476663357;0.415926255;0.3406156902;1941.6778481;0.6974683544;0.5876235025;81.240291262;39.170436553;681.39708738;7150.8539806;0.7290199848;0.3431629351;0.0369978956
2016;19;Kleinhüningen;0.135862069;0.4637931034;0.3806896552;0.1855559528;0.125;0.2821782178;0.3482758621;0.3129812981;1946.2710843;0.156626506;0.1555940923;70.403690037;32.466906475;207.74610106;5162.5021834;0.6372415353;1.8708456991;0.0623085841
2017;6;Gundeldingen;0.0721360097;0.3906043112;0.4513532122;0.2741177106;0.2478632479;0.2185565454;0.3108945501;0.2068548996;1932.2265077;0.0294530154;0.1748682421;70.457689544;38.581193803;526.14626172;7151.3573948;0.7515026656;0.6213669972;0.0418457558
2017;8;Bachletten;0.0260689757;0.2177830293;0.4749279965;0.2165757417;0.7150537634;0.3730717018;0.4221253969;0.2980377638;1934.1489617;0.5607028754;0.4165584579;93.102741623;46.661074077;1893.3535516;11232.568499;0.7890182081;0.1855298991;0.0241987109
2017;14;Wettstein;0.0478045326;0.3179886686;0.529213881;0.2606643674;0.6029411765;0.2857904559;0.3549929178;0.219941349;1933.15625;0.3352272727;0.2812192436;83.239791219;45.582391542;1944.5770912;10408.881084;0.7898662651;1.8146923057;0.038280833
2017;16;Rosental;0.1051587302;0.5573870574;0.4252136752;0.2099798543;0.25;0.1183767872;0.208028083;0.2592514718;1948.6174497;0.0704697987;0.1378866555;69.282678311;33.677971375;239.41690647;5831.0964029;0.7069895936;1.0521806526;0.0654724892
2017;20;Riehen;0.0354745012;0.2554164087;0.4744059807;0.1656778837;0.5178082192;0.4871772275;0.4324555974;0.3636203402;1957.2413207;0.6608400097;0.7949819327;102.91804734;47.59281612;3322.8178059;13431.462954;0.742600131;0.164020109;0.0193855888
2018;4;Breite;0.0592991914;0.3286163522;0.4916891285;0.2849794239;0.329787234;0.3408931083;0.3470350404;0.2245077356;1940.8815592;0.1349325337;0.3595967668;70.004521477;38.929061785;512.9425141;7288.0944151;0.7402545444;0.1261629916;0.0492950163
2018;5;St. Alban;0.039971321;0.3310629145;0.4933679871;0.2392694911;0.5507246377;0.4655742871;0.3366194659;0.2924216165;1938.8973928;0.3372582002;0.3221370715;93.466570467;48.696245096;5783.6317751;16187.932598;0.7285669841;2.2298924122;0.0295674895
2018;9;Gotthelf;0.046390258;0.2752971876;0.5010147869;0.2869757174;0.578313253;0.3449315704;0.3545955349;0.2551612155;1924.7530612;0.3693877551;0.3240684495;74.544131911;41.130126881;962.38892866;8647.5237414;0.7497290566;0.2944427077;0.0344512819
2018;11;St. Johann;0.0888650964;0.4300856531;0.4697537473;0.2289479562;0.3625498008;0.2299215096;0.3171841542;0.2510901451;1932.9564931;0.2478576137;0.2839416111;71.680063511;36.186283285;509.91830365;6584.1510923;0.7033538377;0.9784494321;0.050458782
2018;16;Rosental;0.1117673785;0.5577767681;0.4160230198;0.2144399877;0.3023255814;0.1244444444;0.2088444646;0.273015873;1949.2990033;0.0697674419;0.1357870952;69.447001989;33.579200248;254.13869538;6401.2032932;0.727021636;0.8716042457;0.0654724892
2018;30;Bettingen;0.0159529807;0.241813602;0.4391267842;0.1311627907;0.652173913;0.4144927536;0.4265323258;0.3115942029;1961.9485531;0.7909967846;0.9020116677;120.82306163;52.716153128;15530.157643;19464.664013;0.74117237;0.2878331991;0.0193855888
2019;2;Vorstädte;0.0357071614;0.3810093756;0.5487731897;0.3196893367;0.2916666667;0.3728395062;0.2802712946;0.174382716;1899.0847145;0.0773480663;0.1947071744;82.107153371;49.837307449;6521.1233466;17096.20668;0.7730196667;4.3439132243;0.0242808282
2019;4;Breite;0.0569521691;0.3380422692;0.4952169077;0.2770660923;0.2631578947;0.3336211362;0.346051168;0.2187877741;1941.2268657;0.1343283582;0.3599290089;70.169032499;38.580147476;563.2334935;7393.6547428;0.7402545444;0.1306987677;0.0492950163
2019;6;Gundeldingen;0.0738590979;0.3955482188;0.4617924277;0.2723180388;0.2602040816;0.2208146856;0.3186005645;0.203671395;1932.3062937;0.0293706294;0.1759519674;70.318120925;38.334746684;561.93371932;7375.8589699;0.7611023509;0.572146893;0.0418457558
2019;7;Bruderholz;0.0189163193;0.2469808699;0.4916105589;0.1524556245;0.6585365854;0.410793163;0.4236400556;0.38621087;1949.2155832;0.7323135755;0.7130779141;109.46916648;48.463106267;18285.117337;22172.442991;0.7357069134;0.1384419676;0.0251482114
2019;11;St. Johann;0.0866516806;0.434435881;0.4767180475;0.2306659205;0.3632478632;0.2311418136;0.3235693712;0.2524217882;1933.2118421;0.2480263158;0.2842565586;71.702207331;36.361505244;575.16967243;6657.9447;0.7033538377;1.1019534325;0.050458782
2019;13;Clara;0.0877021068;0.4706026458;0.4728074473;0.2634854772;0.2954545455;0.338606403;0.3155435317;0.1988700565;1929.2055336;0.023715415;0.1596210671;66.433217693;36.286571056;534.14120083;6362.7900621;0.6647432124;0.6431100458;0.0539961926
